state,period_id:id,ref,id,journal_id:id
draft,period_2001-10,,move_V01200120010071,journal_V01
draft,period_2001-10,,move_V01200120010072,journal_V01
draft,period_2001-10,,move_V01200120010073,journal_V01
draft,period_2001-10,,move_V01200120010074,journal_V01
draft,period_2001-10,,move_V01200120010075,journal_V01
draft,period_2001-10,,move_V01200120010076,journal_V01
draft,period_2001-10,,move_V01200120010077,journal_V01
draft,period_2001-10,,move_V01200120010078,journal_V01
draft,period_2001-10,,move_V01200120010079,journal_V01
draft,period_2001-10,,move_V01200120010080,journal_V01
draft,period_2001-11,,move_V01200120010081,journal_V01
draft,period_2001-11,,move_V01200120010082,journal_V01
draft,period_2001-11,,move_V01200120010083,journal_V01
draft,period_2001-11,,move_V01200120010084,journal_V01
draft,period_2001-11,,move_V01200120010085,journal_V01
draft,period_2001-11,,move_V01200120010086,journal_V01
draft,period_2001-11,,move_V01200120010087,journal_V01
draft,period_2001-12,,move_V01200120010088,journal_V01
draft,period_2001-12,,move_V01200120010089,journal_V01
draft,period_2001-12,,move_V01200120010090,journal_V01
draft,period_2001-12,,move_V01200120010091,journal_V01
draft,period_2001-12,,move_V01200120010092,journal_V01
draft,period_2001-12,,move_V01200120010093,journal_V01
draft,period_2001-12,,move_V01200120010094,journal_V01
draft,period_2001-12,,move_V01200120010095,journal_V01
draft,period_2001-12,,move_V01200120010096,journal_V01
draft,period_2001-12,,move_V01200120010097,journal_V01
draft,period_2001-12,,move_V01200120010098,journal_V01
draft,period_2001-12,,move_V01200120010099,journal_V01
draft,period_2001-12,,move_V01200120010100,journal_V01
draft,period_2001-12,,move_V01200120010101,journal_V01
draft,period_2001-12,,move_V01200120010102,journal_V01
draft,period_2001-12,,move_V01200120010103,journal_V01
draft,period_2001-12,,move_V01200120010104,journal_V01
draft,period_2002-1,,move_V01200220020001,journal_V01
draft,period_2002-1,,move_V01200220020002,journal_V01
draft,period_2002-1,,move_V01200220020003,journal_V01
draft,period_2002-1,,move_V01200220020004,journal_V01
draft,period_2002-1,,move_V01200220020005,journal_V01
draft,period_2002-1,,move_V01200220020006,journal_V01
draft,period_2002-1,,move_V01200220020007,journal_V01
draft,period_2002-1,,move_V01200220020008,journal_V01
draft,period_2002-1,,move_V01200220020009,journal_V01
draft,period_2002-2,,move_V01200220020010,journal_V01
draft,period_2002-2,,move_V01200220020011,journal_V01
draft,period_2002-2,,move_V01200220020012,journal_V01
draft,period_2002-2,,move_V01200220020013,journal_V01
draft,period_2002-2,,move_V01200220020014,journal_V01
draft,period_2002-2,,move_V01200220020015,journal_V01
